"Time","my_snoring.mean"
2021-12-04 05:44:10,0.0660
2021-12-04 05:44:15,0.0660
2021-12-04 05:44:20,0.0660
2021-12-04 05:44:25,0.0659
2021-12-04 05:44:30,0.0660
2021-12-04 05:44:35,0.0660
2021-12-04 05:44:40,0.0686
2021-12-04 05:44:45,0.0781
2021-12-04 05:44:50,0.0985
2021-12-04 05:44:55,0.129
2021-12-04 05:45:00,0.224
2021-12-04 05:45:05,0.0716
2021-12-04 05:45:10,0.0825
2021-12-04 05:45:15,0.0915
2021-12-04 05:45:20,0.0648
2021-12-04 05:45:25,0.0653
2021-12-04 05:45:30,0.0656
2021-12-04 05:45:35,0.0656
2021-12-04 05:45:40,0.0661
2021-12-04 05:45:45,0.0864
2021-12-04 05:45:50,0.0688
2021-12-04 05:45:55,0.0866
2021-12-04 05:46:00,0.0649
2021-12-04 05:46:05,0.0677
2021-12-04 05:46:10,0.0658
2021-12-04 05:46:15,0.0660
2021-12-04 05:46:20,0.0661
2021-12-04 05:46:25,0.0655
2021-12-04 05:46:30,0.0659
2021-12-04 05:46:35,0.0661
2021-12-04 05:46:40,0.105
2021-12-04 05:46:45,0.0652
2021-12-04 05:46:50,0.0672
2021-12-04 05:46:55,0.0659
2021-12-04 05:47:00,0.0653
2021-12-04 05:47:05,0.0764
2021-12-04 05:47:10,0.0937
2021-12-04 05:47:15,0.0661
2021-12-04 05:47:20,0.112
2021-12-04 05:47:25,0.0658
2021-12-04 05:47:30,0.0657
2021-12-04 05:47:35,0.128
2021-12-04 05:47:40,0.132
2021-12-04 05:47:45,0.0658
2021-12-04 05:47:50,0.0920
2021-12-04 05:47:55,0.0660
2021-12-04 05:48:00,0.0658
2021-12-04 05:48:05,0.0655
2021-12-04 05:48:10,0.0657
2021-12-04 05:48:15,0.0659
2021-12-04 05:48:20,0.0722
2021-12-04 05:48:25,0.0660
2021-12-04 05:48:30,0.0660
2021-12-04 05:48:35,0.0658
2021-12-04 05:48:40,0.0743
2021-12-04 05:48:45,0.0879
2021-12-04 05:48:50,0.109
2021-12-04 05:48:55,0.165
2021-12-04 05:49:00,0.0660
2021-12-04 05:49:05,0.0666
2021-12-04 05:49:10,0.0661
2021-12-04 05:49:15,0.0660
2021-12-04 05:49:20,0.0655
2021-12-04 05:49:25,0.0657
2021-12-04 05:49:30,0.0660
2021-12-04 05:49:35,0.0665
2021-12-04 05:49:40,0.0654
2021-12-04 05:49:45,0.0661
2021-12-04 05:49:50,0.0660
2021-12-04 05:49:55,0.0657
2021-12-04 05:50:00,0.0660
2021-12-04 05:50:05,0.0660
2021-12-04 05:50:10,0.0661
2021-12-04 05:50:15,0.0658
2021-12-04 05:50:20,0.0654
2021-12-04 05:50:25,0.0659
2021-12-04 05:50:30,0.0658
2021-12-04 05:50:35,0.0658
2021-12-04 05:50:40,0.123
2021-12-04 05:50:45,0.0761
2021-12-04 05:50:50,0.107
2021-12-04 05:50:55,0.0814
2021-12-04 05:51:00,0.114
2021-12-04 05:51:05,0.0649
2021-12-04 05:51:10,0.0654
2021-12-04 05:51:15,0.673
2021-12-04 05:51:20,0.109
2021-12-04 05:51:25,0.241
2021-12-04 05:51:30,0.108
2021-12-04 05:51:35,0.0657
2021-12-04 05:51:40,0.0659
2021-12-04 05:51:45,0.0662
2021-12-04 05:51:50,0.0661
2021-12-04 05:51:55,0.0662
2021-12-04 05:52:00,0.0657
2021-12-04 05:52:05,0.0661
2021-12-04 05:52:10,0.0661
2021-12-04 05:52:15,0.0661
2021-12-04 05:52:20,0.0659
2021-12-04 05:52:25,0.0660
2021-12-04 05:52:30,0.0660
2021-12-04 05:52:35,0.0660
2021-12-04 05:52:40,0.0659
2021-12-04 05:52:45,0.0660
2021-12-04 05:52:50,0.0660
